stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
23150,801176,Mt Timpanogos Blvd @ 898 N,898 N Mt Timpanogos Blvd & 900 E,40.395676,-111.772319,,,0,,,0
23151,801177,North County Blvd @ 10900 N,10900 N North County Blvd & Panarama Drive,40.430329,-111.773619,,,0,,,0
23152,801178,11000 N @ 5320 W,5320 W 11000 N & Hwy 74,40.432002,-111.787435,,,0,,,1
23153,801179,11000 N @ 5331 W,5331 W 11000 N & Hwy 74,40.431779,-111.786867,,,0,,,0
23154,801180,Adobe,Adobe Way & 3900 N,40.435596,-111.890951,,,0,,,1
23155,801183,Ashton Blvd / Triumph Blvd (NB),Ashton Blvd & 2326 W,40.420421,-111.886006,,,0,,,1
23156,801184,Ashton Blvd @ 2302 W,2302 W Ashton Blvd & 2300 W,40.420195,-111.885197,,,0,,,0
23166,198046,North Temple St @ 650 W,650 W North Temple St & 600 N,40.771633,-111.910589,,,,,,1
23169,198049,Power Station,1552 W North Temple St & 1000 W,40.771679,-111.93555,,,,,,1
23170,198050,1940 W. North Temple Station,1948 W North Temple St & 1950 W,40.771718,-111.946527,,,,,,1
23176,198056,North Temple St @ 1758 W,1758 W North Temple St & Duder St,40.77169,-111.941097,,,,,,0
23177,198044,13400 S @ 3435 W,3435 W 13400 S,40.507706,-111.973086,,,0,,,0
23186,801231,920 S @ 328 W,328 W 920 S & 500 W,40.221812,-111.664979,,,0,,,0
23187,801232,920 S @ 331 W,331 W 920 S & 500 W,40.221705,-111.665148,,,0,,,0
23189,801241,200 W @ 1227 N,1227 N 200 W & 1230 N,40.250178,-111.662148,,,0,,,0
23190,801242,200 W @ 781 N,781 N 200 W & 800 N,40.243924,-111.662233,,,0,,,1
23191,801243,200 W @ 810 N,810 N 200 W & 800 N,40.244585,-111.662034,,,0,,,0
23192,801244,200 W @ 491 N,491 N 200 W & 500 N,40.240094,-111.662303,,,0,,,0
23193,801245,200 W @ 510 N,510 N 200 W & 500 N,40.240715,-111.662072,,,0,,,0
23194,801246,200 W @ 99 N,99 N 200 W & 100 N,40.234736,-111.662345,,,0,,,0
23195,801247,200 W @ 142 N,Freedom Blvd & 142 N,40.235713,-111.662095,,,0,,,1
23196,801248,200 W @ 101 S,101 S 200 W & 100 S,40.232013,-111.662349,,,0,,,1
23197,801249,200 W @ 98 S,98 S 200 W & 100 S,40.232752,-111.662115,,,0,,,1
23205,801257,University Ave @ 3671 N,3671 N University Ave & 3700,40.282432,-111.658581,,,0,,,0
23206,801258,University Ave @ 3720 N,3720 N University Ave & E 3700 N,40.28316,-111.658404,,,0,,,0
23207,801259,University Ave @ 3291 N,3291 N University Ave & 3700,40.277068,-111.657798,,,0,,,0
23208,801260,University Ave @ 3302 N,3302 N University Ave & 3300,40.277717,-111.657591,,,0,,,0
23210,801173,2600 N @ 556 W,556 W 2600 N & 600 W,40.392094,-111.749229,,,0,,,0
23211,801174,2600 N @ 549 W,549 W 2600 N & 550 W,40.391977,-111.748919,,,0,,,0
23221,801212,300 W @ 5154 N,5154 N 300 W,40.303155,-111.662666,,,0,,,0
23222,801213,300 W @ 4919 N,4918 N 300 W,40.299553,-111.663038,,,0,,,0
23223,801214,800 E @ 838 N,838 N 800 E & 800 N,40.312446,-111.676587,,,0,,,0
23224,801215,800 E @ 412 N,412 N 800 E & 400 N,40.304864,-111.676544,,,0,,,0
23225,801216,800 E @ 375 N,375 N 800 E & 400 N,40.304185,-111.676703,,,0,,,0
23226,801217,800 E @ 24 N,24 N 800 E & Center Street,40.297364,-111.676398,,,0,,,0
23227,801218,1200 W @ 1222 N,1222 N 1200 W & 1200 N,40.319321,-111.724657,,,0,,,0
23228,801219,1200 W @ 1085 N,1085 N 1200 W & 1200 N,40.317043,-111.72467,,,0,,,0
23229,801220,Geneva Road @ 450 S,450 S Geneva Road & 400 S,40.288812,-111.734004,,,0,,,0
23230,801221,Geneva Road @ 499 S,499 S Geneva Road & 400 S,40.287901,-111.733655,,,0,,,0
23233,801224,Center Street @ 1981 W,1981 W Center Street & Geneva Road,40.233827,-111.693844,,,0,,,0
23237,198057,12600 S @ 1605 W,1605 W 12600 S,40.52219,-111.936346,,,,,,0
23238,BB198058,South Jordan Station,South Jordan Station St,40.56348,-111.900942,,,0,,,1
23240,BB198060,South Jordan Station,South Jordan Station St & W 10350 S,40.56309,-111.900982,,,0,,,1
23242,198062,Grizzly Way @ 7048 S,7048 S Grizzly Way & W Devonna Rd,40.623198,-112.012992,,,,,,1
