service_id,date,exception_type
189904,20200114,1
65504,20200114,1
340904,20200115,1
210704,20200115,1
142204,20200115,1
13304,20200115,1
150804,20200115,1
1004,20200115,1
128004,20200115,1
189904,20200115,1
65504,20200115,1
136504,20200115,1
340904,20200116,1
210704,20200116,1
142204,20200116,1
13304,20200116,1
1004,20200116,1
128004,20200116,1
189904,20200116,1
65504,20200116,1
276904,20200117,1
340804,20200117,1
210704,20200117,1
142204,20200117,1
13304,20200117,1
150804,20200117,1
1004,20200117,1
189904,20200117,1
65504,20200117,1
136504,20200117,1
190002,20200118,1
247302,20200118,1
190103,20200119,1
193604,20200120,1
102904,20200120,1
136504,20200120,1
340904,20200121,1
210704,20200121,1
142204,20200121,1
13304,20200121,1
1004,20200121,1
128004,20200121,1
189904,20200121,1
65504,20200121,1
340904,20200122,1
210704,20200122,1
142204,20200122,1
13304,20200122,1
150804,20200122,1
1004,20200122,1
128004,20200122,1
189904,20200122,1
65504,20200122,1
136504,20200122,1
340904,20200123,1
210704,20200123,1
142204,20200123,1
13304,20200123,1
1004,20200123,1
128004,20200123,1
189904,20200123,1
65504,20200123,1
276904,20200124,1
340804,20200124,1
210704,20200124,1
142204,20200124,1
13304,20200124,1
150804,20200124,1
1004,20200124,1
189904,20200124,1
65504,20200124,1
136504,20200124,1
190002,20200125,1
247302,20200125,1
340904,20200127,1
210704,20200127,1
142204,20200127,1
13304,20200127,1
150804,20200127,1
123704,20200127,1
128004,20200127,1
189904,20200127,1
65504,20200127,1
136504,20200127,1
340904,20200128,1
210704,20200128,1
142204,20200128,1
13304,20200128,1
1004,20200128,1
128004,20200128,1
189904,20200128,1
65504,20200128,1
340904,20200129,1
210704,20200129,1
142204,20200129,1
13304,20200129,1
150804,20200129,1
1004,20200129,1
128004,20200129,1
189904,20200129,1
65504,20200129,1
136504,20200129,1
340904,20200130,1
210704,20200130,1
142204,20200130,1
13304,20200130,1
1004,20200130,1
128004,20200130,1
189904,20200130,1
65504,20200130,1
276904,20200131,1
340804,20200131,1
210704,20200131,1
142204,20200131,1
13304,20200131,1
150804,20200131,1
189904,20200131,1
65504,20200131,1
136504,20200131,1
190002,20200201,1
247302,20200201,1
194803,20200202,1
340904,20200203,1
210704,20200203,1
142204,20200203,1
13304,20200203,1
150804,20200203,1
123704,20200203,1
128004,20200203,1
189904,20200203,1
65504,20200203,1
136504,20200203,1
340904,20200204,1
210704,20200204,1
142204,20200204,1
13304,20200204,1
1004,20200204,1
128004,20200204,1
189904,20200204,1
65504,20200204,1
340904,20200205,1
210704,20200205,1
142204,20200205,1
13304,20200205,1
150804,20200205,1
1004,20200205,1
128004,20200205,1
189904,20200205,1
65504,20200205,1
136504,20200205,1
340904,20200206,1
210704,20200206,1
142204,20200206,1
13304,20200206,1
1004,20200206,1
128004,20200206,1
189904,20200206,1
65504,20200206,1
276904,20200207,1
340804,20200207,1
210704,20200207,1
142204,20200207,1
13304,20200207,1
150804,20200207,1
1004,20200207,1
189904,20200207,1
65504,20200207,1
136504,20200207,1
190002,20200208,1
247302,20200208,1
194803,20200209,1
340904,20200210,1
210704,20200210,1
142204,20200210,1
13304,20200210,1
150804,20200210,1
123704,20200210,1
128004,20200210,1
189904,20200210,1
65504,20200210,1
136504,20200210,1
340904,20200211,1
210704,20200211,1
142204,20200211,1
13304,20200211,1
1004,20200211,1
128004,20200211,1
189904,20200211,1
65504,20200211,1
340904,20200212,1
210704,20200212,1
142204,20200212,1
13304,20200212,1
150804,20200212,1
1004,20200212,1
128004,20200212,1
189904,20200212,1
65504,20200212,1
136504,20200212,1
340904,20200213,1
210704,20200213,1
142204,20200213,1
13304,20200213,1
1004,20200213,1
128004,20200213,1
189904,20200213,1
65504,20200213,1
276904,20200214,1
340804,20200214,1
210704,20200214,1
142204,20200214,1
13304,20200214,1
150804,20200214,1
189904,20200214,1
65504,20200214,1
136504,20200214,1
190002,20200215,1
247302,20200215,1
190103,20200216,1
21,20200217,1
4,20200217,2
340904,20200218,1
210704,20200218,1
142204,20200218,1
13304,20200218,1
1004,20200218,1
128004,20200218,1
189904,20200218,1
65504,20200218,1
340904,20200219,1
210704,20200219,1
142204,20200219,1
13304,20200219,1
150804,20200219,1
1004,20200219,1
128004,20200219,1
189904,20200219,1
65504,20200219,1
136504,20200219,1
340904,20200220,1
210704,20200220,1
142204,20200220,1
13304,20200220,1
1004,20200220,1
128004,20200220,1
189904,20200220,1
65504,20200220,1
276904,20200221,1
340804,20200221,1
210704,20200221,1
142204,20200221,1
13304,20200221,1
150804,20200221,1
1004,20200221,1
189904,20200221,1
65504,20200221,1
136504,20200221,1
190002,20200222,1
247302,20200222,1
194803,20200223,1
340904,20200224,1
210704,20200224,1
142204,20200224,1
13304,20200224,1
150804,20200224,1
123704,20200224,1
128004,20200224,1
189904,20200224,1
65504,20200224,1
136504,20200224,1
340904,20200225,1
210704,20200225,1
142204,20200225,1
13304,20200225,1
1004,20200225,1
128004,20200225,1
189904,20200225,1
65504,20200225,1
340904,20200226,1
210704,20200226,1
142204,20200226,1
13304,20200226,1
150804,20200226,1
1004,20200226,1
128004,20200226,1
189904,20200226,1
65504,20200226,1
136504,20200226,1
340904,20200227,1
210704,20200227,1
142204,20200227,1
13304,20200227,1
1004,20200227,1
128004,20200227,1
189904,20200227,1
65504,20200227,1
276904,20200228,1
340804,20200228,1
210704,20200228,1
142204,20200228,1
13304,20200228,1
150804,20200228,1
1004,20200228,1
189904,20200228,1
65504,20200228,1
136504,20200228,1
190002,20200229,1
247302,20200229,1
194803,20200301,1
340904,20200302,1
210704,20200302,1
142204,20200302,1
123704,20200302,1
128004,20200302,1
189904,20200302,1
340904,20200303,1
210704,20200303,1
142204,20200303,1
1004,20200303,1
128004,20200303,1
189904,20200303,1
340904,20200304,1
210704,20200304,1
142204,20200304,1
1004,20200304,1
128004,20200304,1
189904,20200304,1
340904,20200305,1
210704,20200305,1
142204,20200305,1
1004,20200305,1
128004,20200305,1
189904,20200305,1
276904,20200306,1
340804,20200306,1
210704,20200306,1
142204,20200306,1
189904,20200306,1
190002,20200307,1
247302,20200307,1
194803,20200308,1
340904,20200309,1
210704,20200309,1
13304,20200309,1
150804,20200309,1
123704,20200309,1
128004,20200309,1
189904,20200309,1
340904,20200310,1
210704,20200310,1
13304,20200310,1
1004,20200310,1
128004,20200310,1
189904,20200310,1
340904,20200311,1
210704,20200311,1
13304,20200311,1
150804,20200311,1
1004,20200311,1
128004,20200311,1
189904,20200311,1
340904,20200312,1
210704,20200312,1
13304,20200312,1
1004,20200312,1
128004,20200312,1
189904,20200312,1
276904,20200313,1
340804,20200313,1
210704,20200313,1
13304,20200313,1
150804,20200313,1
1004,20200313,1
189904,20200313,1
190002,20200314,1
247302,20200314,1
194803,20200315,1
340904,20200316,1
142204,20200316,1
13304,20200316,1
150804,20200316,1
123704,20200316,1
128004,20200316,1
189904,20200316,1
340904,20200317,1
142204,20200317,1
13304,20200317,1
1004,20200317,1
128004,20200317,1
189904,20200317,1
340904,20200318,1
142204,20200318,1
13304,20200318,1
150804,20200318,1
1004,20200318,1
128004,20200318,1
189904,20200318,1
340904,20200319,1
142204,20200319,1
13304,20200319,1
1004,20200319,1
128004,20200319,1
189904,20200319,1
276904,20200320,1
340804,20200320,1
142204,20200320,1
13304,20200320,1
150804,20200320,1
1004,20200320,1
189904,20200320,1
190002,20200321,1
247302,20200321,1
194803,20200322,1
340904,20200323,1
210704,20200323,1
142204,20200323,1
13304,20200323,1
150804,20200323,1
128004,20200323,1
189904,20200323,1
340904,20200324,1
210704,20200324,1
142204,20200324,1
13304,20200324,1
128004,20200324,1
189904,20200324,1
340904,20200325,1
210704,20200325,1
142204,20200325,1
13304,20200325,1
150804,20200325,1
128004,20200325,1
189904,20200325,1
340904,20200326,1
210704,20200326,1
142204,20200326,1
13304,20200326,1
128004,20200326,1
189904,20200326,1
276904,20200327,1
340804,20200327,1
210704,20200327,1
142204,20200327,1
13304,20200327,1
150804,20200327,1
189904,20200327,1
190002,20200328,1
247302,20200328,1
194803,20200329,1
340904,20200330,1
210704,20200330,1
142204,20200330,1
13304,20200330,1
150804,20200330,1
123704,20200330,1
128004,20200330,1
340904,20200331,1
210704,20200331,1
142204,20200331,1
13304,20200331,1
1004,20200331,1
128004,20200331,1
340904,20200401,1
210704,20200401,1
142204,20200401,1
13304,20200401,1
150804,20200401,1
1004,20200401,1
128004,20200401,1
340904,20200402,1
210704,20200402,1
142204,20200402,1
13304,20200402,1
1004,20200402,1
128004,20200402,1
276904,20200403,1
340804,20200403,1
210704,20200403,1
142204,20200403,1
13304,20200403,1
150804,20200403,1
1004,20200403,1
