route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
38726,,11,11TH AVENUE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/11-11th-Avenue,004a97,FFFFFF
45408,,17,1700 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/17-1700-South,004a97,FFFFFF
2003,,2,200 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/2-200-South,2eb566,FFFFFF
27610,,200,STATE STREET NORTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/200-State-Street-North,2eb566,FFFFFF
44246,,201,STATE STREET SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/201-State-Street-South,004a97,FFFFFF
27614,,205,500 EAST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/205-500-East,2eb566,FFFFFF
27613,,209,900 EAST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/209-900-East,2eb566,FFFFFF
2022,,21,2100 SOUTH / 2100 EAST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/21-2100-South-2100-East,2eb566,FFFFFF
32878,,213,1300 EAST / 1100 EAST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/213-1300-East-1100-East,004a97,FFFFFF
45407,,217,REDWOOD ROAD,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/217-Redwood-Road,2eb566,FFFFFF
45422,,218,SOUTH JORDAN,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/218-Sandy---South-Jordan,004a97,FFFFFF
45418,,220,HIGHLAND DRIVE / 1300 EAST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/220-Highland-Drive-1300-East,2eb566,FFFFFF
20160,,223,2300 EAST/ HOLLADAY BLVD,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/223-2300-East-Holladay-Blvd,004a97,FFFFFF
20161,,227,2700 WEST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/227-2700-West,004a97,FFFFFF
34503,,232,3200 WEST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/232-3200-West,004a97,FFFFFF
34504,,240,4000 WEST/ DIXIE VALLEY,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/240-4000-West-Dixie-Valley,004a97,FFFFFF
34505,,248,4800 WEST,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/248-4800-West,004a97,FFFFFF
35172,,2X,200 SOUTH EXPRESS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/2-X-200-South-Express,be2036,FFFFFF
41458,,3,3RD AVENUE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/3-3rd-Avenue,004a97,FFFFFF
20168,,307,COTTONWOOD HEIGHTS FAST BUS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/307-Cottonwood-Heights-Fast-Bus,be2036,FFFFFF
17404,,313,SOUTH VALLEY / U OF U FAST BUS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/313-South-Valley-U-of-U-Fast-Bus,be2036,FFFFFF
20170,,320,HIGHLAND DRIVE FAST BUS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/320-Highland-Drive-Fast-Bus,be2036,FFFFFF
2328,,33,3300 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/354-Sandy-U-of-U-Fast-Bus,2eb566,FFFFFF
2332,,35,3500 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/35-3500-South,004a97,FFFFFF
27628,,354,SANDY / U OF U FAST BUS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/354-Sandy-U-of-U-Fast-Bus,be2036,FFFFFF
21598,,35M,3500 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/35M-MAX-3500-South,2eb566,FFFFFF
51295,,39,3900 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/39-3900-South,2eb566,FFFFFF
79372,,4,400 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/4-400-South-Foothill-Drive,004a97,FFFFFF
51294,,41,4100 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/41-4100-South,2eb566,FFFFFF
2343,,45,4500 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/45-4500-South,2eb566,FFFFFF
19902,,451,TOOELE EXPRESS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/451-Tooele-Fast-Bus,be2036,FFFFFF
19905,,454,GRANTSVILLE/SALT LAKE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/454-Grantsville-Salt-Lake,be2036,FFFFFF
19906,,455,U OF U/DAVIS COUNTY/WSU,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/455-UofU-Davis-County-Weber-State-University,004a97,FFFFFF
19925,,456,OGDEN/UNISYS/ ROCKY MTN. EXPRESS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/456-Ogden-Unisys-Rocky-Mountain-Express,be2036,FFFFFF
19908,,460,WOODS CROSS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/460-Woods-Cross,be2036,FFFFFF
19913,,461,BOUNTIFUL via STATE CAPITOL,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/461-Bountiful-via-State-Capitol,be2036,FFFFFF
19917,,462,NORTH SALT LAKE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/462-North-Salt-Lake,be2036,FFFFFF
19921,,463,WEST BOUNTIFUL,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/463-West-Bountiful,be2036,FFFFFF
51572,,47,4700 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/47-4700-South,2eb566,FFFFFF
19930,,470,OGDEN - SALT LAKE INTERCITY,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/470-Ogden-Salt-Lake-Intercity,004a97,FFFFFF
19934,,471,CENTERVILLE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/471-Centerville,be2036,FFFFFF
19935,,472,OGDEN - SALT LAKE EXPRESS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/472-Riverdale-Salt-Lake-Express,be2036,FFFFFF
19936,,473,SLC - OGDEN HWY 89 EXPRESS,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/473-Ogden-Salt-Lake-Express-via-Highway-89,be2036,FFFFFF
25310,,509,900 W SHUTTLE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/509-900-W-Shuttle,004a97,FFFFFF
33284,,513,INDUSTRIAL BUSINESS PARK SHUTTLE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/513-Industrial-Business-Park-Shuttle,be2036,FFFFFF
33606,,519,FAIRPARK,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/519-Fairpark,004a97,FFFFFF
28223,,520,ROSE PARK,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/520-Rose-Park,004a97,FFFFFF
45411,,525,MIDVALE (SHUTTLE),,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/525-Midvale-Shuttle,004a97,FFFFFF
58076,,526,12600 S,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/526-12600-South,be2036,FFFFFF
2053,,54,5400 SOUTH,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/54-5400-South,2eb566,FFFFFF
41354,,551,INTERNATIONAL CENTER,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/551-International-Center,be2036,FFFFFF
38724,,6,6TH AVENUE,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/6-6th-Avenue,004a97,FFFFFF
81586,,601,OGDEN TROLLEY,,3,https://www.rideuta.com/Rider-Tools/Schedules-and-Maps/601-Ogden-Trolley,004a97,FFFFFF
